Year,Exports,Imports
2000,11,1767
2001,19,1988
2002,8,1747
2003,20,2196
2004,15,3393
2005,16,4464
2006,186,3801
2007,250,4160
2008,344,4102
2009,328,5101
2010,246,4963
2011,603,4887
2012,795,5130
2013,695,4814
2014,430,5345
2015,472,5594
