Year,Exports,Imports
2000,9812,641
2001,1571,662
2002,1735,945
2003,2834,1889
2004,2382,1926
2005,3489,2710
2006,7258,4395
2007,9302,7256
2008,9291,4891
2009,7993,3739
2010,15527,5057
2011,12894,4314
2012,10299,2420
2013,6987,2586
2014,5037,2848
2015,4421,1773
