Year,Exports,Imports
2000,138,363
2001,123,492
2002,147,463
2003,149,578
2004,185,626
2005,160,673
2006,170,720
2007,150,926
2008,153,1067
2009,124,892
2010,119,1150
2011,110,1113
2012,123,1435
2013,162,1194
2014,257,1312
2015,282,1435
