Year,Exports,Imports
2000,16833,104052
2001,16919,111858
2002,14588,119147
2003,19782,131915
2004,21655,140925
2005,23378,139788
2006,22632,140350
2007,23953,142710
2008,19823,139884
2009,18855,144655
2010,20720,152046
2011,16822,143950
2012,17211,143489
2013,18190,138733
2014,18299,138051
2015,18653,138074
