Year,Exports,Imports
2000,550326,453551
2001,567946,522982
2002,505910,513740
2003,543167,514375
2004,538108,546892
2005,546144,587591
2006,490971,642607
2007,512391,623825
2008,487417,641575
2009,565143,598380
2010,602204,590119
2011,527257,594704
2012,590690,635871
2013,573220,612203
2014,710251,584623
2015,637823,552023
