Year,Exports,Imports
2000,79,44903
2001,82,46129
2002,122,44831
2003,148,45030
2004,169,45954
2005,179,45418
2006,188,48577
2007,210,48960
2008,176,50747
2009,245,52996
2010,283,53270
2011,261,53278
2012,318,52745
2013,500,57246
2014,659,55503
2015,473,57290
