Year,Exports,Imports
2000,61262,139166
2001,75119,148293
2002,73841,146200
2003,84568,163373
2004,86087,166367
2005,83886,165149
2006,90379,172489
2007,82996,167494
2008,87734,178871
2009,78778,165483
2010,80807,168544
2011,73537,165379
2012,72052,163273
2013,74608,166697
2014,81322,181640
2015,87561,179707
