Year,Exports,Imports
2000,112,34811
2001,24,43516
2002,118,50042
2003,38,59446
2004,378,66262
2005,189,79185
2006,69,79590
2007,350,73568
2008,624,86654
2009,2824,88132
2010,2965,83728
2011,5010,65590
2012,4308,71327
2013,4405,71813
2014,3413,82685
2015,3872,89187
