Year,Exports,Imports
2000,35,277
2001,59,318
2002,32,349
2003,51,456
2004,26,444
2005,37,492
2006,40,511
2007,102,740
2008,58,795
2009,84,926
2010,74,844
2011,96,1011
2012,165,1204
2013,355,1577
2014,298,2409
2015,150,2036
