Year,Exports,Imports
2000,149818,6767
2001,195159,3456
2002,210749,5775
2003,192765,1765
2004,162454,3075
2005,172224,4215
2006,167338,2241
2007,207937,1453
2008,195085,1955
2009,236238,826
2010,259319,1292
2011,280249,1416
2012,286859,6943
2013,311955,8255
2014,312230,10862
2015,319717,20161
