Year,Exports,Imports
2000,1783,16554
2001,2054,18244
2002,2916,17451
2003,2985,22830
2004,2979,23221
2005,1800,24219
2006,2175,29198
2007,2499,22122
2008,3228,29266
2009,4184,28980
2010,6398,27666
2011,5366,26177
2012,6028,26780
2013,6748,28436
2014,5390,27373
2015,6184,29178
