Year,Exports,Imports
2000,0,153
2001,0,178
2002,0,174
2003,0,217
2004,0,142
2005,3,166
2006,0,183
2007,0,163
2008,0,270
2009,0,333
2010,4,365
2011,8,452
2012,14,547
2013,33,492
2014,17,481
2015,23,477
