Year,Exports,Imports
2000,58887,83566
2001,61469,87693
2002,65250,91298
2003,67720,96255
2004,66835,95630
2005,65357,98910
2006,65508,99024
2007,66424,97125
2008,56734,90322
2009,57438,95218
2010,60769,94654
2011,52953,98073
2012,51800,94166
2013,54479,99357
2014,51472,90935
2015,46091,84698
