Year,Exports,Imports
2000,3,12597
2001,19,20009
2002,114,19295
2003,0,19263
2004,0,24341
2005,12,28549
2006,0,27119
2007,0,26070
2008,0,33679
2009,0,27794
2010,0,26963
2011,0,24897
2012,0,26051
2013,0,28698
2014,0,27742
2015,0,22318
