Year,Exports,Imports
2000,12130,49473
2001,13312,49342
2002,12787,47427
2003,13374,49194
2004,14780,54739
2005,16916,57518
2006,18801,56431
2007,19646,60166
2008,18549,62863
2009,21523,60766
2010,23205,59579
2011,24221,57780
2012,24663,55986
2013,24269,56604
2014,26342,59397
2015,28196,62569
