Year,Exports,Imports
2000,254857,166410
2001,256377,178191
2002,255623,191502
2003,272257,237843
2004,312599,280332
2005,350017,316524
2006,426016,351770
2007,426368,413577
2008,458130,446178
2009,521772,474950
2010,571566,511076
2011,566575,546657
2012,629913,627994
2013,661474,646730
2014,695091,692965
2015,793065,764660
