Year,Exports,Imports
2000,91873,30790
2001,124366,38838
2002,115932,33977
2003,105299,29583
2004,104204,25211
2005,106247,30135
2006,112441,35142
2007,112367,42290
2008,120255,51743
2009,100836,43455
2010,106822,49336
2011,104181,60007
2012,113605,60424
2013,120705,65364
2014,106981,72063
2015,95269,62698
