Year,Exports,Imports
2000,3274,13860
2001,3055,14485
2002,2226,15735
2003,2539,16798
2004,1716,15805
2005,4162,18915
2006,1046,15959
2007,852,14557
2008,502,17671
2009,514,16350
2010,2127,17449
2011,3624,17897
2012,3648,16437
2013,3899,17499
2014,4470,19542
2015,6391,22036
