Year,Exports,Imports
2000,16,46
2001,10,42
2002,0,169
2003,0,19
2004,3,43
2005,5,52
2006,5,40
2007,2,45
2008,2,64
2009,0,46
2010,0,42
2011,0,42
2012,1,43
2013,2,40
2014,3,55
2015,2,67
