Year,Exports,Imports
2000,28964,59331
2001,56028,78408
2002,63410,71115
2003,78592,74713
2004,72230,72190
2005,92400,90363
2006,86813,79931
2007,100217,90563
2008,91044,95461
2009,102700,98657
2010,89027,102849
2011,90743,99427
2012,91680,108509
2013,102401,120548
2014,114455,136571
2015,111189,129317
