Year,Exports,Imports
2000,1139,1999
2001,1272,1972
2002,574,1060
2003,477,2130
2004,561,1505
2005,284,1150
2006,74,1152
2007,289,1298
2008,282,1246
2009,211,1313
2010,274,1707
2011,240,1740
2012,189,1833
2013,163,1614
2014,191,1616
2015,150,1580
