Year,Exports,Imports
2000,259,1610
2001,6448,318
2002,186,643
2003,592,1450
2004,872,1518
2005,567,4082
2006,498,9174
2007,726,14387
2008,382,14519
2009,157,7852
2010,107,8337
2011,131,10182
2012,29,9310
2013,76,9252
2014,116,5328
2015,211,1006
