Year,Exports,Imports
2000,23,6046
2001,8,6430
2002,16,5031
2003,10,5883
2004,12,6469
2005,10,6625
2006,5,7663
2007,10,8639
2008,71,8613
2009,86,8827
2010,29,9428
2011,45,10201
2012,52,9142
2013,67,9415
2014,12,9643
2015,11,8721
