Year,Exports,Imports
2000,637646,578474
2001,650058,580996
2002,649867,569124
2003,662694,586158
2004,661030,572902
2005,572849,546761
2006,550500,537693
2007,549724,531771
2008,585764,533654
2009,596224,554290
2010,593963,526485
2011,553339,508371
2012,588827,490286
2013,651031,552690
2014,676476,546460
2015,678250,572690
