Year,Exports,Imports
2000,387165,700552
2001,426217,727511
2002,433098,716161
2003,410514,708348
2004,459957,702242
2005,460729,742415
2006,476489,775840
2007,609588,797007
2008,623013,816553
2009,536188,786247
2010,623057,810232
2011,579577,860237
2012,621491,833014
2013,662234,815619
2014,690688,866836
2015,698517,850488
