Year,Exports,Imports
2000,669,21585
2001,531,20085
2002,758,21762
2003,903,20790
2004,1523,21205
2005,1502,20644
2006,2313,24169
2007,1389,21117
2008,1333,22454
2009,1058,21355
2010,1450,24308
2011,2181,23473
2012,1660,21628
2013,1804,24396
2014,2130,25039
2015,1864,27528
