Year,Exports,Imports
2000,119,10129
2001,180,18988
2002,159,23849
2003,81,18315
2004,217,30294
2005,205,27124
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
