Year,Exports,Imports
2000,14426,4596
2001,9189,4009
2002,9552,4158
2003,7284,5132
2004,7643,7087
2005,6031,5978
2006,7698,6788
2007,7724,6829
2008,2634,6218
2009,7105,6125
2010,6415,7313
2011,4607,6613
2012,2004,7255
2013,2137,7442
2014,2148,8113
2015,1703,8448
