Year,Exports,Imports
2000,3,763
2001,0,589
2002,5,290
2003,0,102
2004,3,196
2005,2,289
2006,3,315
2007,19,504
2008,16,706
2009,19,552
2010,9,609
2011,35,699
2012,31,841
2013,2,902
2014,10,819
2015,19,1108
