Year,Exports,Imports
2000,4886,9743
2001,2903,7684
2002,2402,7367
2003,2029,6287
2004,1461,6113
2005,1137,5805
2006,773,5815
2007,468,5650
2008,751,5730
2009,1027,6025
2010,1406,6816
2011,1252,7182
2012,1056,7983
2013,1034,7912
2014,1001,8286
2015,1142,12748
