Year,Exports,Imports
2000,135024,266751
2001,154421,253039
2002,147062,215338
2003,147462,228793
2004,169244,282191
2005,176356,288182
2006,181648,325130
2007,197627,350638
2008,209205,387836
2009,238556,393659
2010,291041,435099
2011,312616,428735
2012,273263,438688
2013,285609,470554
2014,283801,499711
2015,301615,498029
