Year,Exports,Imports
2000,509,3111
2001,681,4222
2002,755,4340
2003,738,4819
2004,2705,5261
2005,1842,5115
2006,3406,6140
2007,2510,7392
2008,1620,6807
2009,2495,7932
2010,2137,7827
2011,2434,7067
2012,1614,6625
2013,2476,6644
2014,2671,6907
2015,3289,6436
