Year,Exports,Imports
2000,24900,34780
2001,28260,37563
2002,31899,41813
2003,32200,43227
2004,31292,53270
2005,23434,46101
2006,20742,38425
2007,16372,35963
2008,29705,30839
2009,24745,24886
2010,16339,29968
2011,13693,22492
2012,11413,14941
2013,10165,11464
2014,10581,15318
2015,10510,24498
