Year,Exports,Imports
2000,108531,99965
2001,101313,99130
2002,116350,111644
2003,126947,122891
2004,164205,143353
2005,173056,154888
2006,178423,162764
2007,148301,137534
2008,136458,120639
2009,127694,112614
2010,126480,107576
2011,106894,99923
2012,103671,96233
2013,108059,97985
2014,103413,96809
2015,89902,84819
