Year,Exports,Imports
2000,9216,94
2001,14515,255
2002,10808,267
2003,9871,32
2004,5954,1538
2005,4690,27
2006,5188,67
2007,6842,71
2008,9230,45
2009,8597,41
2010,6914,49
2011,6178,51
2012,5479,45
2013,2997,42
2014,4772,40
2015,4236,270
