Year,Exports,Imports
2000,0,7
2001,0,9
2002,0,20
2003,0,30
2004,0,61
2005,0,94
2006,0,135
2007,0,178
2008,0,258
2009,0,192
2010,0,264
2011,0,322
2012,4,339
2013,0,230
2014,0,255
2015,0,184
