Year,Exports,Imports
2000,15851,33228
2001,15770,38630
2002,13528,40150
2003,10359,46105
2004,18789,52755
2005,24636,47015
2006,26130,52393
2007,37998,61249
2008,41647,61329
2009,41916,61723
2010,42963,64678
2011,47415,72229
2012,53123,73242
2013,52890,72276
2014,55877,73909
2015,46283,69958
