Year,Exports,Imports
2000,79075,253057
2001,78436,262929
2002,82597,269531
2003,87183,274076
2004,102670,278665
2005,98155,285664
2006,112276,314355
2007,118732,327432
2008,112796,296211
2009,106476,306509
2010,127353,292306
2011,140546,300207
2012,172622,338421
2013,194074,369927
2014,199328,365710
2015,198746,363555
