Year,Exports,Imports
2000,41,4921
2001,23,4620
2002,9,6129
2003,59,5953
2004,59,6865
2005,61,5909
2006,28,7299
2007,195,7752
2008,296,7174
2009,378,6951
2010,300,6560
2011,291,7120
2012,117,6242
2013,127,6598
2014,151,7504
2015,113,8047
