Year,Exports,Imports
2000,5417,14743
2001,4351,16868
2002,3445,17966
2003,3617,18562
2004,2656,20015
2005,4289,23168
2006,3894,24206
2007,5080,25657
2008,7667,26912
2009,7564,31353
2010,8046,33767
2011,9839,29913
2012,12881,32001
2013,10436,27845
2014,11555,34277
2015,13638,33850
