Year,Exports,Imports
2000,4311,39814
2001,3062,44228
2002,5673,44874
2003,8240,50707
2004,10740,55150
2005,4158,54011
2006,2821,53492
2007,3964,61022
2008,4749,58835
2009,5445,55833
2010,6674,56676
2011,8401,62169
2012,10083,64231
2013,10029,67072
2014,8981,65798
2015,8787,65420
