Year,Exports,Imports
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,1,85
2007,0,114
2008,1,148
2009,3,98
2010,0,117
2011,0,136
2012,0,124
2013,0,129
2014,0,179
2015,1,123
