Year,Exports,Imports
2000,21,22
2001,17,39
2002,0,44
2003,7,40
2004,1,82
2005,0,91
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
