Year,Exports,Imports
2000,9,158
2001,3,251
2002,5,290
2003,67,509
2004,228,793
2005,207,729
2006,440,1251
2007,477,1546
2008,357,1249
2009,85,608
2010,223,892
2011,395,1216
2012,596,1709
2013,532,2217
2014,603,1644
2015,631,1696
