Year,Exports,Imports
2000,291409,7845
2001,310407,6160
2002,337200,10091
2003,355163,8580
2004,429650,5282
2005,453442,15004
2006,442061,9803
2007,411182,12452
2008,432772,17909
2009,416948,8245
2010,464392,17137
2011,484944,16580
2012,528384,9718
2013,562256,9281
2014,497004,34271
2015,409810,41143
