Year,Exports,Imports
2000,19660,33784
2001,12789,34332
2002,16674,29214
2003,20105,33324
2004,22374,36874
2005,19683,43560
2006,23948,47208
2007,25958,57479
2008,21102,55899
2009,20629,62870
2010,25437,68501
2011,29652,67212
2012,29234,65980
2013,29189,59731
2014,27642,63245
2015,27409,59296
