Year,Exports,Imports
2000,57284,68318
2001,61048,64449
2002,53442,52842
2003,65650,58466
2004,68402,63935
2005,69073,63924
2006,84895,68369
2007,111048,72209
2008,99575,71203
2009,106194,66158
2010,117585,67076
2011,100752,60588
2012,110396,57546
2013,108821,54625
2014,96368,60744
2015,97038,56818
