Year,Exports,Imports
2000,61826,43996
2001,57488,46737
2002,62025,53606
2003,72618,81764
2004,75798,57148
2005,81355,60056
2006,84101,60285
2007,88591,62432
2008,80804,72630
2009,98377,87568
2010,98874,84998
2011,100505,84119
2012,87377,79031
2013,70086,67180
2014,80472,87075
2015,85505,82438
