Year,Exports,Imports
2000,0,74
2001,0,64
2002,0,47
2003,0,112
2004,0,119
2005,1,172
2006,0,225
2007,28,315
2008,4,461
2009,11,418
2010,143,415
2011,1058,494
2012,1293,435
2013,1047,1032
2014,1194,1740
2015,1414,2499
