Year,Exports,Imports
2000,1992,5119
2001,2267,13731
2002,3145,11794
2003,3306,21105
2004,1470,22665
2005,1376,11956
2006,4353,10024
2007,3160,21631
2008,4609,21575
2009,2423,16810
2010,7290,7411
2011,4442,11674
2012,5999,18734
2013,8371,22670
2014,8487,24534
2015,11104,28441
