Year,Exports,Imports
2000,591265,744496
2001,683892,860104
2002,583437,852893
2003,641545,953337
2004,646342,873584
2005,707838,870978
2006,683553,907342
2007,688820,947684
2008,708689,875031
2009,772201,933319
2010,775086,960381
2011,806489,958528
2012,747947,869937
2013,698055,869366
2014,800267,951333
2015,758771,979813
