Year,Exports,Imports
2000,17117,20877
2001,20148,35866
2002,20959,49591
2003,21524,50578
2004,21971,31329
2005,22719,46080
2006,27792,43408
2007,28969,37628
2008,27570,43631
2009,30901,34645
2010,32407,31548
2011,36980,27220
2012,31118,22703
2013,32239,20202
2014,44289,19247
2015,49485,22274
