Year,Exports,Imports
2000,52242,8236
2001,44150,14559
2002,40305,22323
2003,37342,31800
2004,29368,36587
2005,29112,47359
2006,27964,48325
2007,33497,71041
2008,31538,69875
2009,30336,55691
2010,34320,65845
2011,38339,63923
2012,35634,59395
2013,37774,68622
2014,53634,55993
2015,55233,25498
