Year,Exports,Imports
2000,12350,6099
2001,13413,5937
2002,14269,3904
2003,14394,3893
2004,13611,4851
2005,13083,5724
2006,12653,5464
2007,16608,6979
2008,13155,5117
2009,12488,6906
2010,13443,8614
2011,13289,7495
2012,15421,7204
2013,13849,7010
2014,16605,7858
2015,17070,7980
