Year,Exports,Imports
2000,545276,472942
2001,587869,479252
2002,630742,487651
2003,711154,537815
2004,844680,522265
2005,905132,632767
2006,792928,652650
2007,762286,688323
2008,669438,591964
2009,613811,676503
2010,687119,777613
2011,618264,685007
2012,711251,767331
2013,704249,706527
2014,903758,779698
2015,893194,700996
