Year,Exports,Imports
2000,1119706,459862
2001,1157093,593962
2002,1176822,579383
2003,1170756,671860
2004,1183614,778066
2005,1318849,903688
2006,1315462,800941
2007,1276910,985869
2008,1327950,998153
2009,1342309,878905
2010,1597138,899374
2011,1713603,828420
2012,1662334,873306
2013,1848868,916176
2014,1654901,791276
2015,1727337,502925
