Year,Exports,Imports
2000,522,1637
2001,188,616
2002,166,648
2003,301,937
2004,254,1149
2005,376,1472
2006,339,1319
2007,338,1570
2008,287,1719
2009,751,2115
2010,1176,3306
2011,1876,3687
2012,2163,3630
2013,1813,3933
2014,1633,3549
2015,1483,2058
