Year,Exports,Imports
2000,162282,18247
2001,238391,28367
2002,246271,59206
2003,199306,22607
2004,186047,20264
2005,131333,23353
2006,97661,26533
2007,113872,32295
2008,127225,29198
2009,136851,40589
2010,180781,64846
2011,138304,41184
2012,244302,95916
2013,203872,63182
2014,224499,58865
2015,212755,58690
