Year,Exports,Imports
2000,2,162
2001,28,242
2002,65,503
2003,54,530
2004,117,523
2005,201,1361
2006,184,766
2007,404,1247
2008,316,1245
2009,240,821
2010,292,903
2011,287,889
2012,297,949
2013,358,1090
2014,394,1240
2015,532,1394
