Year,Exports,Imports
2000,10,374
2001,9,338
2002,4,350
2003,16,357
2004,20,405
2005,17,430
2006,32,486
2007,86,593
2008,48,636
2009,55,601
2010,32,571
2011,56,538
2012,48,512
2013,36,495
2014,70,557
2015,68,551
