Year,Exports,Imports
2000,4040,25754
2001,3539,27407
2002,4281,26302
2003,4366,29839
2004,5032,32010
2005,4608,34531
2006,3681,32892
2007,4438,35077
2008,4235,32565
2009,3593,33877
2010,4460,36976
2011,4040,35775
2012,3495,36012
2013,3572,38584
2014,4055,37083
2015,2871,33554
