Year,Exports,Imports
2000,2067,6731
2001,2081,7515
2002,2018,7999
2003,2052,8861
2004,2572,10245
2005,6545,13676
2006,3906,12431
2007,2898,10987
2008,3834,11963
2009,4002,12337
2010,4660,13352
2011,4322,12998
2012,3350,11637
2013,3980,12048
2014,4867,13084
2015,4850,13307
