Year,Exports,Imports
2000,1769324,379505
2001,1689923,344638
2002,1687569,285949
2003,1671594,177275
2004,1590320,176348
2005,1634014,120819
2006,1611695,134949
2007,1866600,156223
2008,2017941,147773
2009,2334702,196966
2010,2441416,142680
2011,2255818,178394
2012,2373215,183327
2013,2300316,158249
2014,2476603,221227
2015,2356433,201101
