Year,Exports,Imports
2000,27,2593
2001,14,2973
2002,29,2639
2003,32,2859
2004,37,2922
2005,8,2835
2006,15,3139
2007,7,3500
2008,4,3319
2009,22,3500
2010,37,4101
2011,204,4109
2012,7,4135
2013,18,3823
2014,13,3462
2015,6,3036
